Ano;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
2020;1857992;866811;4240210;546891;8628901;842914;1599316;7121156;3233891;9178363;3598288;4097859;9650604;3419689;2352207;15522855;21451356;4138657;16946541;46064928;11538518;7266193;11416895;2800704;3455092;7017496;3223048;212077375
2021;1874318;878654;4295846;554663;8710364;857634;1614821;7156431;3237279;9226629;3627158;4119993;9705888;3432603;2372637;15574542;21551426;4177644;17014734;46363573;11604353;7351785;11442766;2827912;3489729;7094285;3282791;213440458
2022;1890155;890220;4349811;562288;8789130;872187;1629925;7189442;3239829;9272899;3655233;4141161;9759391;3444654;2392601;15622585;21646641;4215796;17078778;46648199;11666293;7435729;11465705;2853969;3523288;7170021;3341579;214747509
2023;1905483;901494;4402267;569760;8864989;886586;1644621;7220006;3241530;9317120;3682477;4161337;9810850;3455890;2412078;15666521;21735850;4252873;17138897;46920368;11725343;7518134;11485875;2879162;3555738;7243974;3399501;215998724
2024;1920296;912480;4453233;577080;8938000;900828;1658908;7248192;3242397;9359246;3708845;4180508;9860222;3466324;2431072;15706339;21818937;4288849;17195010;47179720;11781438;7598890;11503184;2903465;3587069;7316094;3456467;217193093
2025;1934569;923171;4502713;584261;9008231;914915;1672792;7274092;3242491;9399260;3734326;4198671;9907481;3476012;2449564;15742074;21895816;4323701;17247068;47426003;11834496;7677890;11517560;2926854;3617251;7386343;3512409;218330014
2026;1948295;933580;4550668;591301;9075990;928861;1686276;7298052;3241853;9437126;3758899;4215840;9952805;3485000;2467561;15774088;21967474;4357586;17294738;47657463;11883701;7754883;11528820;2949104;3646277;7455181;3567130;219408552
2027;1961483;943714;4597105;598202;9141350;942678;1699376;7320150;3240499;9472791;3782539;4232008;9996161;3493288;2485037;15802419;22033876;4390464;17337930;47873759;11929009;7829737;11536938;2970213;3674131;7522592;3620581;220428030
2028;1974114;953573;4642138;604960;9204104;956359;1712069;7340209;3238443;9506193;3805207;4247157;10037301;3500899;2501980;15826769;22093910;4422131;17376801;48076120;11971132;7902540;11542054;2990397;3700794;7588003;3672828;221388185
2029;1986163;963154;4685782;611583;9264288;969906;1724357;7358319;3235703;9537296;3826891;4261314;10076186;3507837;2518373;15847159;22147479;4452546;17411225;48264305;12009993;7973192;11544082;3009638;3726248;7651361;3723789;222288169
2030;1997617;972464;4728027;618057;9321910;983304;1736235;7374604;3232330;9566063;3847580;4274504;10112795;3514114;2534193;15863601;22194468;4481671;17441020;48437934;12045491;8041587;11542948;3027926;3750469;7712596;3773409;223126917
